"ID","Core","Depth.min","Depth.max","Depth.mean","d13C.carb","d18O.carb","d13C.carb.sd","d18O.carb.sd","percent.carb","d13C.org","Fmc","Fmc.err","NOSAMS.an"
"3510-1_1","3510-1",0,2,1,-0.68,-6.6,0.31,0.13,0.08,NA,NA,NA,""
"3510-1_3","3510-1",2,4,3,0.67,-4.71,0.1,0.04,0.29,NA,NA,NA,""
"3510-1_5","3510-1",4,6,5,2.27,-4.73,0.04,0.04,0.38,NA,NA,NA,""
"3510-1_7","3510-1",6,8,7,2.33,-5.25,0.04,0.04,0.36,NA,NA,NA,""
"3510-1_9","3510-1",8,10,9,2.33,-5.12,0.14,0.06,0.39,NA,NA,NA,""
"3510-1_11","3510-1",10,12,11,2.78,-5.29,0.06,0.03,0.39,NA,NA,NA,""
"3510-1_13","3510-1",12,14,13,2.41,-4.86,0.15,0.12,0.43,NA,NA,NA,""
"3510-1_15","3510-1",14,16,15,2.59,-4.92,0.07,0.04,0.35,NA,NA,NA,""
"3510-1_17","3510-1",16,18,17,2.17,-4.99,0.05,0.04,0.32,NA,NA,NA,""
"3510-1_19","3510-1",18,20,19,2.6,-5.15,0.03,0.04,0.38,NA,NA,NA,""
"3510-1_21","3510-1",20,22,21,2.23,-5.09,0.05,0.04,0.4,NA,NA,NA,""
"3510-1_23","3510-1",22,24,23,1.87,-5.56,0.05,0.05,0.31,NA,NA,NA,""
"3510-1_25","3510-1",24,26,25,2.28,-5.28,0.04,0.03,0.38,NA,NA,NA,""
"3510-1_27","3510-1",26,28,27,2.17,-5.37,0.08,0.06,0.37,NA,NA,NA,""
"3510-1_29","3510-1",28,30,29,2.18,-5.01,0.07,0.04,0.43,NA,NA,NA,""
"3510-1_31","3510-1",30,32,31,2.5,-5.19,0.06,0.02,0.42,NA,NA,NA,""
"3510-1_33","3510-1",32,34,33,2.4,-5.03,0.05,0.02,0.37,NA,NA,NA,""
"3510-1_35","3510-1",34,36,35,2.67,-4.65,0.06,0.06,0.35,NA,NA,NA,""
"3510-1_37","3510-1",36,38,37,2.43,-5.17,0.04,0.04,0.35,NA,NA,NA,""
"DDL_0.5","DDL",0,1,0.5,-0.22,-7.81,0.28,0.17,0.06,-22.35,1.0617,0.0053,"OS-84524   "
"DDL_1.5","DDL",1,2,1.5,0.67,-6.19,0.12,0.05,0.12,-21.74,1.0829,0.0038,"OS-84519   "
"DDL_2.5","DDL",2,3,2.5,0.29,-6.62,0.18,0.11,0.12,-21.34,1.1154,0.0043,"OS-84383   "
"DDL_4.5","DDL",4,5,4.5,1.61,-5.24,0.08,0.09,0.23,NA,NA,NA,""
"DDL_5.5","DDL",5,6,5.5,2.05,-4.6,0.06,0.03,0.35,NA,NA,NA,""
"DDL_8.5","DDL",8,9,8.5,2.06,-5.05,0.04,0.04,0.34,NA,NA,NA,""
"DDL_9.5","DDL",9,10,9.5,2.95,-4.9,0.07,0.02,0.39,NA,NA,NA,""
"DDL_10.5","DDL",10,11,10.5,2.72,-4.94,0.1,0.07,0.35,NA,NA,NA,""
"DDL_11.5","DDL",11,12,11.5,2.95,-4.99,0.1,0.05,0.44,NA,NA,NA,""
"DDL_12.5","DDL",12,13,12.5,2.99,-4.83,0.07,0.04,0.32,NA,NA,NA,""
